,number,value,datetime_start,datetime_complete,duration,params_n_clusters,state
0,0,0.7335874584451382,2023-01-08 19:23:02.260617,2023-01-08 19:25:04.087538,0 days 00:02:01.826921,128,COMPLETE
1,1,0.7542809814963656,2023-01-08 19:23:02.282105,2023-01-08 19:25:09.700431,0 days 00:02:07.418326,256,COMPLETE
2,2,0.7335874584451382,2023-01-08 19:23:02.304633,2023-01-08 19:26:10.161948,0 days 00:03:07.857315,128,COMPLETE
3,3,0.7668440778635779,2023-01-08 19:23:02.328622,2023-01-08 19:26:22.480956,0 days 00:03:20.152334,1024,COMPLETE
4,4,0.7668440778635779,2023-01-08 19:23:02.351332,2023-01-08 19:26:02.941606,0 days 00:03:00.590274,1024,COMPLETE
5,5,0.7462022837522868,2023-01-08 19:23:02.372388,2023-01-08 19:25:04.111352,0 days 00:02:01.738964,512,COMPLETE
6,6,0.7668440778635779,2023-01-08 19:23:02.396041,2023-01-08 19:25:00.240677,0 days 00:01:57.844636,1024,COMPLETE
7,7,0.7542809814963656,2023-01-08 19:23:02.418217,2023-01-08 19:24:49.085428,0 days 00:01:46.667211,256,COMPLETE
8,8,0.7462022837522868,2023-01-08 19:24:49.237306,2023-01-08 19:26:23.745813,0 days 00:01:34.508507,512,COMPLETE
9,9,0.7335874584451382,2023-01-08 19:25:00.383342,2023-01-08 19:26:25.363788,0 days 00:01:24.980446,128,COMPLETE
